reach,standardized_reach,reach_description,stream,sub_reach,standardized_sub_reach,sub_reach_descriptions,categorization,CAMP_description
NA,NA,not recorded,battle creek,NA,NA,NA,NA,NA
CNFH,R7,Coleman NFH to LBC (Lower Battle Creek),battle creek,NA,NA,NA,NA,NA
R3,R3,Coleman Dam to Confluence,battle creek,NA,NA,NA,NA,NA
R4,R4,Confluence to Barnbeat,battle creek,NA,NA,NA,NA,NA
R6,R6,Springbranch to Coleman NFH,battle creek,NA,NA,NA,NA,NA
R7,R7,Coleman NFH to LBC (Lower Battle Creek),battle creek,NA,NA,NA,NA,NA
R2,R2,Wildcat Dam to Conflence,battle creek,NA,NA,NA,NA,NA
R1,R1,Assumes encompasses R1A and R1B: Eagle Canyon Dam to Wildcat Dam. Moving forward will be using sub-reaches,battle creek,NA,NA,NA,NA,NA
R5,R5,Barnbeat to Springbranch,battle creek,NA,NA,NA,NA,NA
Nevis Creek,R6,Springbranch to Coleman NFH,battle creek,NA,NA,NA,NA,NA
Tailrace,R7,Coleman NFH to LBC (Lower Battle Creek),battle creek,NA,NA,NA,NA,NA
4,R4,Confluence to Barnbeat,battle creek,NA,NA,NA,NA,NA
1,R1,Assumes encompasses R1A and R1B: Eagle Canyon Dam to Wildcat Dam. Moving forward will be using sub-reaches,battle creek,NA,NA,NA,NA,NA
2,R2,Wildcat Dam to Conflence,battle creek,NA,NA,NA,NA,NA
5,R5,Barnbeat to Springbranch,battle creek,NA,NA,NA,NA,NA
3,R3,Coleman Dam to Confluence,battle creek,NA,NA,NA,NA,NA
R1B,R1,Assumes encompasses R1A and R1B: Eagle Canyon Dam to Wildcat Dam. Moving forward will be using sub-reaches,battle creek,NA,NA,NA,NA,NA
R12,R1,Assumes encompasses R1A and R1B: Eagle Canyon Dam to Wildcat Dam. Moving forward will be using sub-reaches,battle creek,NA,NA,NA,NA,NA
R3,R3,Kanaka Creek Confluence to Placer Rd. Bridge,clear creek,NA,NA,NA,NA,NA
R2,R2,NEED Camp Bridge to Kanaka Creek Confluence,clear creek,NA,NA,NA,NA,NA
R4,R4,Placer Rd. Bridge to Clear Creek Rd. Bridge,clear creek,NA,NA,NA,NA,NA
R5A,R5,Clear Creek Rd. Bridge to Clear Creek Gorge,clear creek,NA,NA,NA,NA,NA
R1,R1,Whiskeytown Dam to NEED Camp Bridge,clear creek,NA,NA,NA,NA,NA
R5B,R5,Clear Creek Rd. Bridge to Clear Creek Gorge,clear creek,NA,NA,NA,NA,NA
R6,R6A,Clear Creek Gorge to Gold Dredge BLM Recreation Area,clear creek,NA,NA,NA,NA,NA
R5C,R5,Clear Creek Rd. Bridge to Clear Creek Gorge,clear creek,NA,NA,NA,NA,NA
R7,R7,China Garden BLM Recreation Area to Clear Creek Video Station,clear creek,NA,NA,NA,NA,NA
R6A,R6A,Clear Creek Gorge to Gold Dredge BLM Recreation Area,clear creek,NA,NA,NA,NA,NA
